round,institute,program,quota,category,opening_rank,closing_rank
Round 1,Hemnalini Memorial College of Engineering,Computer Science & Engineering,All India,Open,209890,239615
Round 1,Jalpaiguri Goverment Engineering College,Computer Science & Engineering,Home State,OBC - B,1883,2330
Round 1,Kalyani Goverment Engineering College,Computer Science & Engineering,Home State,OBC - B,1455,1770
Round 1,Cooch Behar Government Engineering College,Computer Science & Engineering,Home State,EWS,7068,9524
Round 1,Cooch Behar Government Engineering College,Computer Science & Engineering,Home State,Open (PwD),57269,64924
Round 1,Goverment College of Engineering and Leather Technology,Computer Science & Engineering,Home State,EWS,4073,5961
Round 1,Govt. College of Engineering & Ceramic Technology,Computer Science & Engineering,Home State,OBC - A,6041,7075
Round 1,Dumkal Institute of Engineering & Technology,Computer Science & Engineering,All India,Open,220899,976778
Round 1,Greater Kolkata College of Engineering & Management,Computer Science & Engineering,All India,Open,27615,110097
Round 1,Camellia School of Engineering & Technology,Computer Science & Engineering,All India,Open,325621,897535
Round 1,Kalyani Goverment Engineering College,Computer Science & Engineering,Home State,OBC - A (PwD),48904,48904
